"","file_id","compound","Identifier 1","depth","measurement_info","ampl_sample_mean.mV","file_datetime","type","Ampl 44","true_d13C","true_d13C_pred","true_d13C_pred_se","true_d13C_pred_in_range","d13C_resid"
"11","446__A6 mix_1_5ul.dxf","C26","A6 mix","NA","c(""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"", ""Set Reference Dilution to 76 [%]"", ""Activate Combustion Mode ..."", ""Trayholder 1:Slot1:1"", ""Peak Center found at [62065]"", ""Sample Dilution found at 0 []"", ""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"")","1353.9841903003","1485211960","standard","1367.1472806548","-32.94","-32.4783092129626","0.371099133768873","TRUE","0.448042833779699"
"12","446__A6 mix_1_5ul.dxf","C27","A6 mix","NA","c(""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"", ""Set Reference Dilution to 76 [%]"", ""Activate Combustion Mode ..."", ""Trayholder 1:Slot1:1"", ""Peak Center found at [62065]"", ""Sample Dilution found at 0 []"", ""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"")","1353.9841903003","1485211960","standard","1383.77709213905","-30.49","-29.9622065800073","0.371121407934105","TRUE","0.512191419415608"
"13","446__A6 mix_1_5ul.dxf","C28","A6 mix","NA","c(""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"", ""Set Reference Dilution to 76 [%]"", ""Activate Combustion Mode ..."", ""Trayholder 1:Slot1:1"", ""Peak Center found at [62065]"", ""Sample Dilution found at 0 []"", ""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"")","1353.9841903003","1485211960","standard","1343.45694667168","-33.2","-32.7652447667943","0.371200061266197","TRUE","0.421903516715034"
"14","446__A6 mix_1_5ul.dxf","C29","A6 mix","NA","c(""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"", ""Set Reference Dilution to 76 [%]"", ""Activate Combustion Mode ..."", ""Trayholder 1:Slot1:1"", ""Peak Center found at [62065]"", ""Sample Dilution found at 0 []"", ""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"")","1353.9841903003","1485211960","standard","1299.47637250166","-29.1","-28.5220433843584","0.371866416047444","TRUE","0.560871750409845"
"15","446__A6 mix_1_5ul.dxf","C30","A6 mix","NA","c(""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"", ""Set Reference Dilution to 76 [%]"", ""Activate Combustion Mode ..."", ""Trayholder 1:Slot1:1"", ""Peak Center found at [62065]"", ""Sample Dilution found at 0 []"", ""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"")","1353.9841903003","1485211960","standard","1237.87627128034","-29.84","-29.1071868137134","0.371499603560583","TRUE","0.711150635519115"
"16","447__OG005_F1 alkanes_122m_S31_1ul_50ng.dxf","C15","OG005_F1 alkanes_122m","122","c(""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"", ""Set Reference Dilution to 76 [%]"", ""Activate Combustion Mode ..."", ""Trayholder 1:Slot1:2"", ""Peak Center found at [62065]"", ""Sample Dilution found at 0 []"", ""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"")","2112.90741760465","1485215850","sample","751.630982778196","NA","-29.8516807711582","0.371159731990409","TRUE","NA"
"17","447__OG005_F1 alkanes_122m_S31_1ul_50ng.dxf","C16","OG005_F1 alkanes_122m","122","c(""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"", ""Set Reference Dilution to 76 [%]"", ""Activate Combustion Mode ..."", ""Trayholder 1:Slot1:2"", ""Peak Center found at [62065]"", ""Sample Dilution found at 0 []"", ""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"")","2112.90741760465","1485215850","sample","1680.94791404715","NA","-29.9452789002697","0.371127073321245","TRUE","NA"
"18","447__OG005_F1 alkanes_122m_S31_1ul_50ng.dxf","pristane","OG005_F1 alkanes_122m","122","c(""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"", ""Set Reference Dilution to 76 [%]"", ""Activate Combustion Mode ..."", ""Trayholder 1:Slot1:2"", ""Peak Center found at [62065]"", ""Sample Dilution found at 0 []"", ""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"")","2112.90741760465","1485215850","sample","4497.87219247211","NA","-29.9223147458211","0.371134884413519","TRUE","NA"
"19","447__OG005_F1 alkanes_122m_S31_1ul_50ng.dxf","phytane","OG005_F1 alkanes_122m","122","c(""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"", ""Set Reference Dilution to 76 [%]"", ""Activate Combustion Mode ..."", ""Trayholder 1:Slot1:2"", ""Peak Center found at [62065]"", ""Sample Dilution found at 0 []"", ""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"")","2112.90741760465","1485215850","sample","2534.15862351947","NA","-30.4051612434074","0.370999328351","TRUE","NA"
"20","447__OG005_F1 alkanes_122m_S31_1ul_50ng.dxf","C19","OG005_F1 alkanes_122m","122","c(""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"", ""Set Reference Dilution to 76 [%]"", ""Activate Combustion Mode ..."", ""Trayholder 1:Slot1:2"", ""Peak Center found at [62065]"", ""Sample Dilution found at 0 []"", ""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"")","2112.90741760465","1485215850","sample","2777.83184515161","NA","-30.4623820062321","0.370987241108142","TRUE","NA"
